B	cDC1	cDC2	mDC	Mf	Mo	Mo_Blood	Mo_CD16	NK	pDC	T_Effector	T_Effector_GNLY	T_Naive	Treg	Treg_Imm
Control_GA	13.45	0	5.83	0.45	0	18.83	13.9	3.59	12.11	0.9	1.35	8.07	17.04	0	4.48
Control_Yon	8.49	0.47	6.13	0	0.47	20.75	13.21	5.19	8.96	2.36	0.94	8.96	16.98	0	7.08
Control_Pas	3.6	0.72	6.47	0	0.72	33.81	5.76	8.63	14.39	4.32	0.72	1.44	14.39	0	5.04
Control_Kfir	3.05	0	5.79	0	0.61	28.05	9.45	6.71	11.28	1.22	3.05	7.32	16.77	0	6.71
Control_Meit	5.21	0	4.17	0	0.52	12.5	7.81	5.21	5.73	2.08	1.56	6.77	40.62	0	7.81
Control_Sa	6.21	0	4.35	0	0	21.74	18.01	2.48	4.35	11.8	4.35	11.8	12.42	0	2.48
Control_Tali	5.49	0.42	1.69	0	0	14.56	12.45	6.33	13.29	1.69	6.75	10.97	22.78	0	3.59
Control_Jiq	13.33	0.28	4.72	0	0	14.17	12.22	3.06	18.89	1.11	3.06	9.72	17.22	0	2.22
Control_Keren	14.57	0	1.99	0.22	0.66	9.27	6.62	3.31	14.35	2.87	0.22	2.65	41.28	0.22	1.77
Control_Natali	9.71	0.19	3.24	0	0	14.29	13.9	3.62	15.43	0.57	4.19	10.1	21.9	0	2.86
Control_Kfir_1	7.47	0.26	4.77	0	0	8.63	8.25	0.52	10.05	0.26	4.12	10.05	42.65	0	2.96
Control_Kfir_3	8.44	0	2.37	0	0	11.35	8.97	1.06	15.3	1.32	2.11	10.29	34.3	0	4.49
Control_Paolin_3	2.62	0	4.63	0	0.4	13.48	10.87	1.81	9.05	3.02	4.63	14.08	28.97	0	6.44
Control_Kfir_4	7.28	0.22	2.87	0	0.44	14.57	13.02	3.53	13.25	1.77	3.53	3.53	32.23	0	3.75
Control_Kfir_2	11.95	0	2.65	0	0	11.06	9.29	2.65	7.08	3.54	1.77	4.87	37.61	0.44	7.08
OA_001	0.08	2.91	16.93	0.16	10.79	60.31	2.6	0.08	0.16	0.16	2.2	0.24	1.5	0	1.89
OA_002	0	0.78	11.86	0	24.34	53.98	1.56	0.16	0.31	0	1.4	0.31	2.5	0.16	2.65
OA_003	0.11	4.08	38.73	0	18.12	26.05	0.23	0.11	0.68	0	2.83	0.34	2.6	0.11	6
OA_004	0	1.62	35.6	0	21.68	21.68	0	0.32	1.29	1.94	4.21	0.97	4.85	0.32	5.5
OA_005	0.75	7.46	17.91	0.75	33.58	32.84	0	0	0.75	0.75	1.49	0	2.24	0	1.49
OA_006	0.69	1.66	15.1	0	61.93	13.72	0.07	0.07	1.79	0.07	0.62	2.28	0.9	0	1.1
OA_007	1.83	2.2	15	0.18	9.24	17.84	2.56	2.93	11.16	0.55	2.47	10.43	12.44	0.82	10.34
OA_008	0.18	3.6	32.41	0	41.55	19.58	0.18	0.18	0.46	0	0.74	0.09	0.46	0	0.55
OA_009	0	3.09	28.05	0	45.07	18.38	0	0	0.58	0	1.55	0.39	1.16	0	1.74
PsA_001	0.76	1.15	5.34	0.76	20.23	56.49	0	0	3.05	0	2.67	0	5.34	1.15	3.05
PsA_002	0.75	2.06	15.7	0.37	19.63	45.61	0.19	0.19	2.24	1.68	2.8	1.31	2.43	0.19	4.86
PsA_003	1.89	1.98	15.95	1.19	1.59	45.9	1.32	0.22	2.69	0.26	1.72	1.54	15.99	1.59	6.17
PsA_004	0.72	4.35	7.5	0.99	6.82	37.7	0.45	0.09	1.44	1.17	9.16	5.79	7.59	1.75	14.5
PsA_005	1.2	1.2	3.43	0.69	2.92	59.86	1.54	0.34	4.8	0.34	4.12	1.03	10.98	0.51	7.03
PsA_006.1	0.29	2.4	8.3	0.66	10.2	39.55	0.15	0.07	3.5	0.87	11.36	1.24	4.73	0.8	15.88
PsA_009	0.67	5	19.26	0.61	7.19	34.73	0.49	0.18	1.46	1.52	4.51	3.05	9.75	0.85	10.73
